Time,Temperature,SootA,Co2,
29-8-2015T13-22-42,25.469999,27.908424,1412.699951,
29-8-2015T13-22-43,25.469999,27.983631,1412.959961,
29-8-2015T13-22-44,25.469999,28.0797,1412.959961,
29-8-2015T13-22-45,25.469999,28.128574,1411.969971,
29-8-2015T13-22-46,25.469999,28.17256,1411.969971,
29-8-2015T13-22-47,25.469999,28.212147,1409.069946,
29-8-2015T13-22-48,25.469999,28.247776,1409.069946,
29-8-2015T13-22-49,25.469999,28.238417,1408.869995,
29-8-2015T13-22-50,25.469999,28.081934,1408.869995,
29-8-2015T13-22-51,25.469999,28.020117,1408.689941,
29-8-2015T13-22-52,25.469999,27.964481,1408.689941,
29-8-2015T13-22-53,25.469999,27.914408,1407.550049,
29-8-2015T13-22-54,25.469999,27.869343,1407.550049,
29-8-2015T13-22-55,25.469999,27.875578,1416.890015,
29-8-2015T13-22-56,25.469999,27.93259,1416.890015,
29-8-2015T13-22-57,25.469999,27.930201,1429.540039,
29-8-2015T13-22-58,25.469999,27.928051,1429.540039,
29-8-2015T13-22-59,25.469999,27.926115,1428.390015,
29-8-2015T13-23-00,25.469999,27.924374,1428.390015,
29-8-2015T13-23-01,25.469999,27.8599,1428.819946,
29-8-2015T13-23-02,25.469999,27.780394,1428.819946,
29-8-2015T13-23-03,25.469999,27.720345,1427.569946,
29-8-2015T13-23-04,25.469999,27.6663,1427.569946,
29-8-2015T13-23-05,25.469999,27.617661,1421.079956,
29-8-2015T13-23-06,25.469999,27.573885,1421.079956,
29-8-2015T13-23-07,25.469999,27.550598,1420.380005,
29-8-2015T13-23-08,25.469999,27.487446,1420.380005,
29-8-2015T13-23-09,25.469999,27.393787,1420.689941,
29-8-2015T13-23-10,25.469999,27.309494,1420.689941,
29-8-2015T13-23-11,25.469999,27.233631,1428.800049,
29-8-2015T13-23-12,25.469999,27.165354,1428.800049,
29-8-2015T13-23-13,25.469999,27.092396,1428.51001,
29-8-2015T13-23-14,25.469999,27.268385,1428.51001,
29-8-2015T13-23-15,25.469999,27.384583,1427.219971,
29-8-2015T13-23-16,25.469999,27.489161,1427.219971,
29-8-2015T13-23-17,25.469999,27.583281,1431.930054,
29-8-2015T13-23-18,25.469999,27.667988,1431.930054,
29-8-2015T13-23-19,25.469999,27.738087,1431.300049,
29-8-2015T13-23-20,25.469999,27.569498,1431.300049,
29-8-2015T13-23-21,25.469999,27.502155,1430.800049,
29-8-2015T13-23-22,25.469999,27.441547,1430.800049,
29-8-2015T13-23-23,25.469999,27.386999,1429.97998,
29-8-2015T13-23-24,25.469999,27.337906,1429.97998,
29-8-2015T13-23-25,25.469999,27.356628,1430.810059,
29-8-2015T13-23-26,25.469999,27.3488155,1429.805054,
29-8-2015T13-23-27,25.469999,27.341003,1428.800049,
29-8-2015T13-23-28,25.469999,27.317989,1428.800049,
29-8-2015T13-23-29,25.469999,27.297276,1429.680054,
29-8-2015T13-23-30,25.469999,27.278633,1429.680054,
29-8-2015T13-23-31,25.469999,27.22043,1430.689941,
29-8-2015T13-23-32,25.469999,27.22682825,1429.062453875,
29-8-2015T13-23-33,25.469999,27.2332265,1427.43496675,
29-8-2015T13-23-34,25.469999,27.23962475,1425.807479625,
29-8-2015T13-23-35,25.469999,27.246023,1424.1799925,
29-8-2015T13-23-36,25.469999,27.25242125,1422.552505375,
29-8-2015T13-23-37,25.469999,27.2588195,1420.92501825,
29-8-2015T13-23-38,25.469999,27.26521775,1419.297531125,
29-8-2015T13-23-39,25.469999,27.271616,1417.670044,
29-8-2015T13-23-40,25.469999,27.281624,1417.670044,
29-8-2015T13-23-41,25.469999,27.29063,1421.72998,
29-8-2015T13-23-42,25.469999,27.298737,1421.72998,
29-8-2015T13-23-43,25.469999,27.240059,1422.329956,
29-8-2015T13-23-44,25.469999,27.306156,1422.329956,
29-8-2015T13-23-45,25.469999,27.247503,1419.060059,
29-8-2015T13-23-46,25.469999,27.194715,1419.060059,
29-8-2015T13-23-47,25.469999,27.147205,1418.619995,
29-8-2015T13-23-48,25.469999,27.104446,1418.619995,
29-8-2015T13-23-49,25.469999,27.10202,1417.069946,
29-8-2015T13-23-50,25.469999,27.02619,1417.069946,
29-8-2015T13-23-51,25.469999,27.030823,1415.170044,
29-8-2015T13-23-52,25.469999,27.034992,1415.170044,
29-8-2015T13-23-53,25.469999,27.038744,1419.829956,
29-8-2015T13-23-54,25.469999,27.042122,1419.829956,
29-8-2015T13-23-55,25.469999,27.026749,1417.109985,
29-8-2015T13-23-56,25.469999,27.074286,1417.109985,
29-8-2015T13-23-57,25.469999,27.096354,1416.069946,
29-8-2015T13-23-58,25.469999,27.116215,1416.069946,
29-8-2015T13-23-59,25.469999,27.13409,1422.0,
29-8-2015T13-24-00,25.469999,27.150179,1422.0,
29-8-2015T13-24-01,25.469999,27.218359,1421.660034,
29-8-2015T13-24-02,25.469999,27.340326,1421.660034,
29-8-2015T13-24-03,25.469999,27.401766,1422.969971,
29-8-2015T13-24-04,25.469999,27.457062,1422.969971,
29-8-2015T13-24-05,25.469999,27.506828,1421.22998,
29-8-2015T13-24-06,25.469999,27.551619,1421.22998,
29-8-2015T13-24-07,25.469999,27.593462,1421.469971,
29-8-2015T13-24-08,25.469999,27.510681,1421.469971,
29-8-2015T13-24-09,25.469999,27.421604,1423.22998,
29-8-2015T13-24-10,25.469999,27.341434,1423.22998,
29-8-2015T13-24-11,25.469999,27.269279,1421.310059,
29-8-2015T13-24-12,25.469999,27.204342,1421.310059,
29-8-2015T13-24-13,25.469999,27.151268,1424.98999,
29-8-2015T13-24-14,25.469999,27.11731,1424.98999,
29-8-2015T13-24-15,25.469999,27.14505,1424.699951,
29-8-2015T13-24-16,25.469999,27.170015,1424.699951,
29-8-2015T13-24-17,25.469999,27.192484,1430.280029,
29-8-2015T13-24-18,25.469999,27.212706,1430.280029,
29-8-2015T13-24-19,25.469999,27.182575,1430.189941,
29-8-2015T13-24-20,25.469999,27.185377,1430.189941,
29-8-2015T13-24-21,25.469999,27.144939,1429.719971,
29-8-2015T13-24-22,25.469999,27.108545,1429.719971,
